sample_id,bme688_gas_response_norm,mq135_response_norm,mq7_response_norm,temperature_c,humidity_pct,pressure_hpa,pattern_label
PD_217,0.76409,0.26973,0.56049,24.23,60.27,1008.12,Pattern_D
U_169,0.42961,0.55248,0.50003,25.43,53.3,1008.19,Unknown
PB_123,0.69346,0.42946,0.7495,24.97,53.1,1005.08,Pattern_B
PB_114,0.72192,0.4018,0.86899,24.1,55.48,1007.94,Pattern_B
PB_152,0.70202,0.234,0.77814,24.45,54.89,1009.27,Pattern_B
PC_262,0.41608,0.52853,0.34098,27.0,46.6,1014.83,Pattern_C
PD_164,0.79779,0.29626,0.55658,23.4,63.6,1002.89,Pattern_D
PC_142,0.54333,0.60126,0.36402,26.0,43.31,1014.56,Pattern_C
U_073,0.45902,0.43869,0.5576,25.48,55.95,1011.19,Unknown
PA_260,0.22432,0.67916,0.33628,25.35,51.78,1011.74,Pattern_A
PC_289,0.54896,0.63632,0.30326,26.18,45.67,1018.04,Pattern_C
U_233,0.48431,0.45682,0.49151,25.42,52.05,1010.97,Unknown
PC_113,0.5417,0.71987,0.30362,25.83,46.69,1014.57,Pattern_C
U_183,0.45701,0.48161,0.5364,25.11,51.84,1009.52,Unknown
PA_071,0.30507,0.66557,0.34434,24.33,48.05,1011.36,Pattern_A
U_069,0.58163,0.46888,0.49512,25.32,54.6,1009.06,Unknown
U_292,0.35746,0.44608,0.47497,26.02,54.86,1011.72,Unknown
PC_008,0.51503,0.55792,0.26356,25.34,48.13,1014.29,Pattern_C
PB_134,0.57474,0.48749,0.72737,25.14,54.81,1008.37,Pattern_B
PA_052,0.2816,0.8045,0.41496,25.78,52.59,1012.79,Pattern_A
PD_300,0.74156,0.3816,0.54577,23.72,59.77,1006.5,Pattern_D
PD_229,0.87726,0.2091,0.61109,24.73,62.07,1004.52,Pattern_D
PD_291,0.7041,0.35477,0.5254,24.21,61.54,1004.21,Pattern_D
U_050,0.42032,0.56806,0.48377,25.6,50.87,1006.78,Unknown
U_220,0.53097,0.34631,0.38085,25.5,52.21,1010.73,Unknown
PB_133,0.70584,0.46634,0.66351,24.13,57.72,1008.52,Pattern_B
U_253,0.54476,0.47591,0.45561,26.06,50.71,1012.56,Unknown
U_271,0.52113,0.4973,0.48338,25.45,53.68,1007.96,Unknown
U_035,0.63425,0.45225,0.38654,25.24,45.91,1010.43,Unknown
U_082,0.49342,0.50272,0.51539,25.15,52.54,1009.15,Unknown
PD_186,0.74415,0.25535,0.60481,23.74,57.76,1002.38,Pattern_D
PC_011,0.52082,0.62616,0.25423,26.14,44.63,1012.15,Pattern_C
U_085,0.48501,0.44335,0.60537,24.98,50.76,1008.37,Unknown
PD_142,0.73308,0.26781,0.68882,23.91,61.41,1006.29,Pattern_D
PA_221,0.25817,0.68355,0.37867,24.3,50.5,1013.74,Pattern_A
PB_040,0.68626,0.46789,0.73225,24.95,52.81,1008.53,Pattern_B
PB_124,0.71379,0.46103,0.78881,24.68,54.29,1009.42,Pattern_B
PB_129,0.58047,0.45051,0.89638,24.79,58.24,1008.33,Pattern_B
PD_206,0.79864,0.27673,0.55277,23.2,62.17,1004.67,Pattern_D
PA_077,0.35919,0.66503,0.39998,24.99,50.69,1010.5,Pattern_A
U_192,0.39182,0.48864,0.44938,24.86,52.52,1009.4,Unknown
PB_140,0.74271,0.49848,0.74025,24.4,56.46,1006.95,Pattern_B
U_137,0.51234,0.5447,0.59358,25.15,55.3,1007.36,Unknown
PC_265,0.46075,0.61488,0.31699,26.0,45.24,1013.12,Pattern_C
PD_181,0.76815,0.25699,0.55951,24.58,63.46,1003.99,Pattern_D
PB_055,0.67846,0.43256,0.89239,24.26,55.93,1009.92,Pattern_B
PB_066,0.71994,0.35948,0.70005,24.52,55.38,1004.66,Pattern_B
PB_010,0.70613,0.37502,0.74988,24.97,55.87,1005.49,Pattern_B
PC_137,0.58798,0.62024,0.30202,26.61,47.54,1016.38,Pattern_C
PD_099,0.78995,0.26777,0.45257,24.22,62.53,1004.43,Pattern_D
PC_022,0.53257,0.6411,0.29693,26.11,43.38,1016.26,Pattern_C
PB_244,0.63179,0.39807,0.76645,24.01,55.73,1010.9,Pattern_B
PD_241,0.87758,0.24862,0.62457,23.77,61.28,1006.14,Pattern_D
U_097,0.62034,0.39989,0.49612,25.66,52.59,1009.66,Unknown
PB_255,0.73006,0.43845,0.79511,24.53,53.52,1007.53,Pattern_B
PC_080,0.45313,0.5464,0.12327,25.78,44.13,1014.08,Pattern_C
PA_050,0.28697,0.73147,0.39776,24.83,46.14,1012.59,Pattern_A
PB_191,0.77035,0.50224,0.76147,24.37,54.71,1008.41,Pattern_B
PB_017,0.59469,0.44945,0.733,24.02,53.78,1009.93,Pattern_B
PD_005,0.81935,0.25927,0.53892,23.84,64.21,1009.12,Pattern_D
PC_037,0.51655,0.61192,0.37362,25.86,47.11,1017.22,Pattern_C
PB_261,0.67692,0.27315,0.77293,24.08,56.07,1005.69,Pattern_B
PB_187,0.76668,0.53901,0.69881,24.91,53.41,1008.4,Pattern_B
PA_068,0.34513,0.69441,0.41127,24.88,49.74,1013.49,Pattern_A
PC_212,0.47053,0.57838,0.40921,26.04,42.39,1015.32,Pattern_C
PB_194,0.69014,0.54681,0.68385,24.49,55.67,1006.67,Pattern_B
PB_011,0.71606,0.3495,0.84475,24.96,55.64,1008.28,Pattern_B
PD_197,0.81221,0.18561,0.48382,24.02,57.71,1004.2,Pattern_D
U_048,0.48649,0.27394,0.47646,25.65,53.02,1011.73,Unknown
PA_185,0.23965,0.76555,0.29865,24.64,52.87,1013.51,Pattern_A
PB_007,0.69208,0.40318,0.8487,24.09,53.71,1008.02,Pattern_B
PC_253,0.52058,0.6517,0.37879,26.26,46.77,1014.64,Pattern_C
PC_193,0.54779,0.50708,0.3871,25.73,45.37,1016.54,Pattern_C
PA_290,0.27159,0.77945,0.2979,24.91,48.2,1012.2,Pattern_A
PC_107,0.53124,0.6147,0.27528,26.29,45.07,1013.47,Pattern_C
U_130,0.56683,0.46147,0.60378,25.22,53.68,1010.88,Unknown
PC_055,0.52069,0.65774,0.3274,25.36,41.84,1013.64,Pattern_C
PB_223,0.68285,0.37947,0.72841,23.99,57.78,1009.92,Pattern_B
PB_162,0.57983,0.53392,0.80954,24.85,57.13,1009.04,Pattern_B
PD_031,0.80131,0.33187,0.67013,23.33,60.79,1005.28,Pattern_D
PD_135,0.77653,0.19401,0.66465,23.45,64.26,1003.88,Pattern_D
PA_030,0.22971,0.73122,0.47475,25.07,49.74,1012.51,Pattern_A
PA_241,0.26345,0.74344,0.29656,25.65,49.68,1012.52,Pattern_A
PC_199,0.62897,0.63765,0.17646,24.6,46.61,1014.83,Pattern_C
PC_218,0.52142,0.61189,0.40637,26.56,46.73,1013.27,Pattern_C
PA_066,0.17294,0.72353,0.35169,25.21,51.54,1012.25,Pattern_A
PC_002,0.42937,0.69543,0.32719,25.98,46.42,1013.62,Pattern_C
PD_025,0.77642,0.40857,0.68286,24.24,62.74,1003.19,Pattern_D
PC_155,0.57716,0.52282,0.26583,26.08,43.45,1017.58,Pattern_C
PD_027,0.79355,0.33209,0.54525,23.2,65.57,1009.48,Pattern_D
PD_202,0.77199,0.29623,0.61742,23.52,56.5,1003.05,Pattern_D
PA_248,0.3063,0.74145,0.42666,24.64,51.93,1009.53,Pattern_A
PA_278,0.29435,0.83689,0.45148,24.69,50.49,1012.0,Pattern_A
U_203,0.43747,0.41054,0.53932,25.36,54.06,1009.68,Unknown
PD_167,0.84424,0.21764,0.51832,24.12,64.38,1003.28,Pattern_D
PB_180,0.68643,0.27422,0.68067,24.26,53.17,1008.71,Pattern_B
PB_127,0.56454,0.47457,0.8461,25.17,55.79,1008.08,Pattern_B
PA_124,0.21091,0.57393,0.4401,25.53,47.75,1008.65,Pattern_A
PD_270,0.78835,0.257,0.66867,24.02,60.22,1005.17,Pattern_D
PB_095,0.81925,0.51621,0.82716,24.33,53.06,1009.42,Pattern_B
PD_086,0.86935,0.31322,0.61446,23.73,63.16,1005.57,Pattern_D
